YEAR	month	type	amount
1992	JAN	MED	146913
1992	FEB	MED	147270
1992	MAR	MED	146831
1992	APR	MED	148082
1992	MAY	MED	149015
1992	JUN	MED	149821
1992	JUL	MED	150809
1992	AUG	MED	151064
1992	SEP	MED	152595
1992	OCT	MED	153577
1992	NOV	MED	153605
1992	DEC	MED	155504
1992	JAN	LOW	138283.076707099
1992	FEB	LOW	139097.790939715
1992	MAR	LOW	139707.821223181
1992	APR	LOW	146174.057211325
1992	MAY	LOW	144659.482118078
1992	JUN	LOW	140761.778928343
1992	JUL	LOW	145347.804178592
1992	AUG	LOW	149368.898114875
1992	SEP	LOW	145721.911469735
1992	OCT	LOW	151195.648707867
1992	NOV	LOW	150228.680365738
1992	DEC	LOW	146701.571277153
1992	JAN	HIGH	148180.531118356
1992	FEB	HIGH	150315.281427912
1992	MAR	HIGH	149089.397061378
1992	APR	HIGH	157623.910444386
1992	MAY	HIGH	155522.651342545
1992	JUN	HIGH	158115.405192137
1992	JUL	HIGH	160292.452783898
1992	AUG	HIGH	152280.762138065
1992	SEP	HIGH	154387.779958341
1992	OCT	HIGH	157158.039605197
1992	NOV	HIGH	158224.623033796
1992	DEC	HIGH	162142.385863043
1993	JAN	MED	157525
1993	FEB	MED	156292
1993	MAR	MED	154774
1993	APR	MED	158996
1993	MAY	MED	160624
1993	JUN	MED	160171
1993	JUL	MED	162832
1993	AUG	MED	162491
1993	SEP	MED	163285
1993	OCT	MED	164711
1993	NOV	MED	166593
1993	DEC	MED	168101
1993	JAN	LOW	148895.076707099
1993	FEB	LOW	148119.790939715
1993	MAR	LOW	147650.821223181
1993	APR	LOW	157088.057211325
1993	MAY	LOW	156268.482118078
1993	JUN	LOW	151111.778928343
1993	JUL	LOW	157370.804178592
1993	AUG	LOW	160795.898114875
1993	SEP	LOW	156411.911469735
1993	OCT	LOW	162329.648707867
1993	NOV	LOW	163216.680365738
1993	DEC	LOW	159298.571277153
1993	JAN	HIGH	158792.531118356
1993	FEB	HIGH	159337.281427912
1993	MAR	HIGH	157032.397061378
1993	APR	HIGH	168537.910444386
1993	MAY	HIGH	167131.651342545
1993	JUN	HIGH	168465.405192137
1993	JUL	HIGH	172315.452783898
1993	AUG	HIGH	163707.762138065
1993	SEP	HIGH	165077.779958341
1993	OCT	HIGH	168292.039605197
1993	NOV	HIGH	171212.623033796
1993	DEC	HIGH	174739.385863043
1994	JAN	MED	167504
1994	FEB	MED	169652
1994	MAR	MED	172775
1994	APR	MED	173099
1994	MAY	MED	172340
1994	JUN	MED	174307
1994	JUL	MED	174801
1994	AUG	MED	177289
1994	SEP	MED	178776
1994	OCT	MED	180569
1994	NOV	MED	180695
1994	DEC	MED	181492
1994	JAN	LOW	158874.076707099
1994	FEB	LOW	161479.790939715
1994	MAR	LOW	165651.821223181
1994	APR	LOW	171191.057211325
1994	MAY	LOW	167984.482118078
1994	JUN	LOW	165247.778928343
1994	JUL	LOW	169339.804178592
1994	AUG	LOW	175593.898114875
1994	SEP	LOW	171902.911469735
1994	OCT	LOW	178187.648707867
1994	NOV	LOW	177318.680365738
1994	DEC	LOW	172689.571277153
1994	JAN	HIGH	168771.531118356
1994	FEB	HIGH	172697.281427912
1994	MAR	HIGH	175033.397061378
1994	APR	HIGH	182640.910444386
1994	MAY	HIGH	178847.651342545
1994	JUN	HIGH	182601.405192137
1994	JUL	HIGH	184284.452783898
1994	AUG	HIGH	178505.762138065
1994	SEP	HIGH	180568.779958341
1994	OCT	HIGH	184150.039605197
1994	NOV	HIGH	185314.623033796
1994	DEC	HIGH	188130.385863043
1995	JAN	MED	182423
1995	FEB	MED	179472
1995	MAR	MED	180996
1995	APR	MED	181702
1995	MAY	MED	183543
1995	JUN	MED	186088
1995	JUL	MED	185470
1995	AUG	MED	186814
1995	SEP	MED	187338
1995	OCT	MED	186546
1995	NOV	MED	189052
1995	DEC	MED	190809
1995	JAN	LOW	173793.076707099
1995	FEB	LOW	171299.790939715
1995	MAR	LOW	173872.821223181
1995	APR	LOW	179794.057211325
1995	MAY	LOW	179187.482118078
1995	JUN	LOW	177028.778928343
1995	JUL	LOW	180008.804178592
1995	AUG	LOW	185118.898114875
1995	SEP	LOW	180464.911469735
1995	OCT	LOW	184164.648707867
1995	NOV	LOW	185675.680365738
1995	DEC	LOW	182006.571277153
1995	JAN	HIGH	183690.531118356
1995	FEB	HIGH	182517.281427912
1995	MAR	HIGH	183254.397061378
1995	APR	HIGH	191243.910444386
